太宗皇帝
高宗皇帝
中宗皇帝
睿宗皇帝
明皇帝
肃宗皇帝
德宗皇帝
文宗皇帝
宣宗皇帝
昭宗皇帝
文德皇后
则天皇后
徐贤妃
上官昭容
杨贵妃
江妃
章怀太子
韩王元嘉
越王贞
信安王祎
宜芬公主
女学士宋氏若华
尚宫宋氏若昭
尚宫宋氏若宪
鲍氏君徽
萧妃
南唐先主李昪
嗣主璟
后主煜
韩王从善
吉王从谦
蜀高祖王建
后主衍
吴越王钱镠
后王钱俶
后蜀嗣主孟昶
闽王王继鹏
蜀太后徐氏
蜀太妃徐氏
褚亮
不详
张说
武则天
魏征
包佶
林锺宫
卢从愿
刘晃
韩休
王晙
崔玄童
贾曾
苏颋
何鸾
蒋挺
源光裕
贺知章、源干曜
于邵
姚崇
蔡孚
沈佺期
卢怀慎
姜皎
崔日用
李乂
裴璀
魏征、褚亮
郭子仪
刘晏
郑馀庆
郑絪
段文昌
牛僧孺
李回
夏侯孜
萧倣
李舒
徐彦伯
丘说
张齐贤
郑善玉
薛稷
徐坚
胡雄
刘子玄
员半千
祝钦明
许孟容
陈京
冯伉
崔邠
张荐
归登
杜羔
李逢吉
孟简
裴度
王涯
赵光逢、张衮
崔居俭、卢文纪
张昭
张籍
李贺
卢照邻
李白
刘驾
僧贯休
郑世翼
张循之
刘方平
皇甫冉
李端
于濆
孟郊
僧齐己
韦应物
元稹
罗隐
卢仝
刘氏云
王勃
庄南杰
岑参
柳宗元
王维
翁绶
杨师道
王建
僧皎然
鲍溶
贾驰
张祜
窦威
陈子昂
张易之
王昌龄
马戴
杜甫
王之涣
耿[湋]
刘济
于鹄
刘希夷
沈彬
乔知之
刘宪
崔湜
韦承庆
欧阳瑾
张九龄
余延寿
长孙佐辅
戴叔伦
崔融
鲍氏君[徽]微
于武陵
郑渥
崔颢
顾况
聂夷中
白居易
薛能
李益
秦韬玉
李羣玉
纪唐天
温庭筠
王叡
宋之问
刘眘虚
丁仙芝
李商隐
韩翃
陆龟蒙
赵微明
孟云卿
崔国辅
常建
郎大家宋氏
李彦暐
骆宾王
梁献
上官仪
董思恭
顾朝阳
东方虬
郭元振
刘长卿
储光羲
令狐楚
张仲素
王偃
张文琮
陈昭
王无竞
郑愔
贾至
张氏琰
梁氏琼
王适
欧阳詹
袁晖
刘商
吴烛
朱光弼
朱放
程氏长文
韩愈
高适
陶翰
虞世南
李颀
李约
戎昱
厉玄
卢纶
杜頠
袁朗
王翰
僧子兰
薛奇童
张汯
刘元济
李暇
刘义
姚氏月华
吴少微
雍陶
张脩之
裴交泰
刘皁
刘言史
李华
齐澣
高蟾
郑谷
刘氏媛
刘禹锡
严识玄
张烜
王沈
王諲
柯崇
薛耀
张子容
张若虚
杨巨源
施肩吾
张柬之
孟浩然
贺知章
阎朝隐
杨衡
失撰人名
陈羽
邹绍先
郎士元
崔涂
杜牧
杨凌
司空曙
司空图
李季兰
李希仲
武平一
李百药
杜审言
刘元淑
卢弼
胡曾
王贞白
王毂
独孤及
虞羽客
李嶷
韦庄
李廓
郑锡
贾岛
张炽
李峤
辛弘智
李康成
雍裕之
张继
张纮
贺兰进明
王缙
吴融
常理
姚系
张彪
刘氏瑶
张潮
万楚
王训
田娥
李嘉祐
李章
权德舆
陆长源
赵嘏
李义府
薛逢
盖嘉运
赵良器
黄麟
郭向
郭良
王乔
徐九臯
阎宽
李收
程弥纶
屈同仙
豆卢复
荆冬倩
梁洽
郑绍
朱斌
梁德裕
常非月
张良璞
孙欣
王羨门
芮挺章
楼颕
杨贲
李清
陈季
王邕
庄若讷
魏璀
王??
窦冀
鲁收
朱逵
许瑶
包何
贾邕
刘舟
长孙铸
房白
元晟
刘太冲
姚发
郑愕
殷少野
邬载
皇甫曾
李岘
李栖筠
徐浩
薛令之
李穆
冯著
王迥
李晔
敬括
钱起
元结
刘太真
袁傪
崔何
王纬
郭澹
高傪
李岑
苏寓
袁邕
李纾
阎防
薛据
令狐峘
滕珦
常衮
褚朝阳
苏源明
郑虔
毕耀
韦济
田澄
沈东美
苏涣
息夫牧
宋华
邹象先
韦建
殷寅
柳中庸
崔惠童
崔敏童
苗晋卿
贾躭
赵居贞
萧华
元友让
蒋冽
蒋涣
段怀然
张偁
陈孙
李峯
沈千运
王季友
于逖
赵征明
元季川
秦系
任华
魏万
崔宗之
崔成甫
严武
韦迢
郭受
韩滉
窦蒙
张濯
王绰
古之奇
李阳冰
严维
耿湋
窦叔向
窦常
窦牟
窦羣
窦庠
窦巩
韦元甫
王铤
潘炎
张叔良
吕牧
韦夏卿
綦毋诚
姚伦
于结
郑孺华
张叔卿
房孺复
杨郇伯
陈润
杜诵
郑丹
郑昈
朱长文
张建封
于良史
崔膺
冯宿
张众甫
王武陵
朱宿
崔琮
李竦
章八元
史延
韩濬
独孤绶
张佐
阎济美
张少博
周彻
高拯
王表
独孤授
王储
周渭
畅当
畅诸
陆贽
张蒙
常沂
周存
黎逢
张昔
丁位
元友直
杨系
崔绩
张季略
裴达
裴逵
沈回
杨凭
杨凝
崔峒
苗发
吉中孚
夏侯审
王烈
衞象
崔季卿
何兆
奚贾
张南史
陈翊
刘复
冷朝阳
于尹躬
柳郴
李子卿
朱湾
丘丹
贾弇
沈仲昌
谢良辅
鲍防
杜奕
郑概
陈元初
吕渭
范灯
樊珣
刘蕃
张志和
张松龄
陆羽
郭郧
韦同则
李夷简
刘长川
郑常
陈存
王观
崔瓘
郑审
朱彬
李彦远
范元凯
刘迥
李幼卿
李深
羊滔
薛戎
谢勮
崔元翰
独孤良器
高崇文
罗珦
皇甫澈
张登
韦执中
邵真
何频瑜
骆浚
罗让
韦渠牟
窦参
卢羣
韦臯
李愿
王智兴
袁高
崔子向
张署
武元衡
李吉甫
赵宗儒
柳公绰
张正一
徐放
崔备
萧祜
王良士
独孤实
卢士政
于敖
皇甫镛
颜粲
徐敞
张聿
麴信陵
张正元
王履贞
彭伉
林藻
李观
李绛
崔枢
陆复礼
李正辞
张嗣初
许康佐
许尧佐
李君房
车??
杨于陵
潘孟阳
武少仪
姚向
温会
李敬伯
姚康
羊士谔
贾稜
刘遵古
李正封
崔立之
郭遵
韦纾
樊阳源
许稷
范传正
豆卢荣
邵偃
柳道伦
陈九流
夏方庆
张弘靖
韩察
崔恭
陆瀍
胡[証]
张贾
张文规
庾承宣
郑澣
张汇
李应
陈师穆
李季何
李程
高弁
席夔
李行敏
陈讽
崔护
李翱
